epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,16612.1,1.40984,0.85227,0.96762,0.66035,0.39329,0.42838,0.23426,1.33354,0.76113,0.93909,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,17128.5,1.4092,0.85102,0.96693,0.66492,0.39229,0.42936,0.2348,1.33289,0.76026,0.93874,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17645,1.40871,0.85019,0.96621,0.66329,0.39414,0.43018,0.23549,1.3323,0.75945,0.93839,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18155.9,1.40523,0.84688,0.96627,0.66217,0.39607,0.43117,0.2361,1.33185,0.75869,0.93816,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,18667.8,1.40511,0.84634,0.9658,0.66148,0.39615,0.43162,0.23644,1.3312,0.758,0.93783,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,19188.7,1.40339,0.84577,0.96472,0.66198,0.3955,0.43187,0.23687,1.33058,0.75727,0.93751,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,19699.7,1.40134,0.84408,0.96465,0.6653,0.39604,0.43265,0.23735,1.32998,0.75643,0.93727,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,20205.1,1.40148,0.84293,0.96456,0.66148,0.39686,0.43282,0.23759,1.32943,0.75566,0.93693,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,20708.5,1.40053,0.84046,0.96237,0.6567,0.40058,0.43359,0.23805,1.32905,0.755,0.93654,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,21211.2,1.39974,0.84044,0.96259,0.65567,0.40263,0.43461,0.23854,1.3284,0.75417,0.9362,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
